,Open,High,Low,Close,Volume
25/04/2025 14:15,-10,-4,-2,-2,1091
25/04/2025 14:30,-2,6,18,20,41005
25/04/2025 14:45,20,16,14,20,1851
25/04/2025 15:00,20,24,12,12,2765
25/04/2025 21:15,8,16,6,14,2720
25/04/2025 21:30,14,14,12,12,1474
25/04/2025 21:45,12,14,8,10,980
25/04/2025 22:00,10,12,10,14,1184
25/04/2025 22:15,14,14,6,8,2592
25/04/2025 22:30,8,10,6,8,1997
25/04/2025 22:45,8,10,6,10,1373
25/04/2025 23:00,10,10,10,16,1497
28/04/2025 09:15,16,16,14,18,2256
28/04/2025 09:30,18,18,12,16,1767
28/04/2025 09:45,14,18,14,14,926
28/04/2025 10:00,14,16,14,12,848
28/04/2025 10:15,12,12,10,10,1132
28/04/2025 10:45,12,10,8,8,381
28/04/2025 11:00,8,12,10,12,1300
28/04/2025 11:15,12,14,10,10,672
28/04/2025 11:30,10,14,10,10,1221
28/04/2025 13:45,12,12,8,10,1261
28/04/2025 14:00,10,14,8,10,487
28/04/2025 14:15,10,12,10,12,658
28/04/2025 14:30,10,12,10,12,4356
28/04/2025 14:45,12,10,8,6,5043
28/04/2025 15:00,6,10,6,14,5602
28/04/2025 21:15,14,14,12,10,3671
28/04/2025 21:30,12,12,6,10,3665
28/04/2025 21:45,10,6,10,12,1497
28/04/2025 22:00,12,10,12,8,905
28/04/2025 22:15,8,10,10,12,885
28/04/2025 22:30,12,14,12,12,536
28/04/2025 22:45,12,12,10,10,374
28/04/2025 23:00,12,10,10,12,713
29/04/2025 09:15,14,12,12,12,1586
29/04/2025 09:30,12,12,12,10,5826
29/04/2025 09:45,10,8,10,10,2295
29/04/2025 10:00,10,12,14,12,25725
29/04/2025 10:15,12,14,10,10,1403
29/04/2025 10:45,10,10,12,14,3085
29/04/2025 11:00,14,14,10,12,1632
29/04/2025 11:15,12,14,10,10,3171
29/04/2025 11:30,10,10,14,12,3847
29/04/2025 13:45,12,14,8,12,5106
29/04/2025 14:00,12,10,14,18,50777
29/04/2025 14:15,18,16,18,16,2165
29/04/2025 14:30,18,18,14,16,1606
